Recourse,Type,Topic,Subtopic,Link,Observation,
,,Information extraction,,https://www.analyticsvidhya.com/blog/2020/06/nlp-project-information-extraction/,,
,,Jupyter Notebook,,https://towardsdatascience.com/top-9-jupyter-notebook-extensions-7a5d30269bc8,,
,,Jupyter Notebook,Publicar no Medium,https://pypi.org/project/jupyter-to-medium/,,
,,Jupyter Notebook,Venv,https://janakiev.com/blog/jupyter-virtual-envs/,,
,,Jupyter Notebook,viewer Jupyter,https://nbviewer.jupyter.org/github/joobernardo/Portfolio_DS/blob/master/Codenation_DS/Desafios_semana2/main.ipynb,,
,,Programação,Algorithms,https://www.coursera.org/specializations/algorithms,Curso,Coursera
,,Machine Learning,Regressão,https://www.youtube.com/watch?v=lrdJ4c_-otA,Escola Livre de IA,
,,Machine Learning,Importance Modelo Supervisionado,https://scikit-learn.org/stable/modules/generated/sklearn.inspection.permutation_importance.html#sklearn.inspection.permutation_importance,,
,,Machine Learning,GPU,https://github.com/rapidsai/cloud-ml-examples,,
,,Machine Learning,GPU,https://github.com/rapidsai/notebooks-contrib,,
,,Machine Learning,GPU,https://pythran.readthedocs.io/en/latest/,Pythran,
,,Machine Learning,GPU,https://serge-sans-paille.github.io/pythran-stories/pythran-tutorial.html,Pythran,
,,Machine Learning,GPU,https://github.com/ysraell/examples/blob/master/Pythran/Basic_Tutorial.ipynb,Pythran,
,,Machine Learning,GPU,https://github.com/ysraell/examples/tree/master/Cpp_Boost_Python,Pythran,
,,Machine Learning,GPU,https://github.com/google/jax,Jax,
,,Machine Learning,GPU,https://jax.readthedocs.io/en/latest/notebooks/quickstart.html,Jax,
,,Machine Learning,,https://www.youtube.com/playlist?list=PL5-da3qGB5ICeMbQuqbbCOQWcS6OYBr5A,,
,,Numpy,,https://www.youtube.com/watch?v=QUT1VHiLmmI,,
,,Data Science,Programação,https://hackr.io/tutorials/learn-data-science,,
,,Data Science,Microsoft,https://www.microsoft.com/pt-br/academia,,
,,Estatística,Normalizar vs padronizar,https://medium.com/data-hackers/normalizar-ou-padronizar-as-vari%C3%A1veis-3b619876ccc9,,
,,Estatística,Normalizar vs padronizar,https://medium.com/tentando-ser-um-unic%C3%B3rnio/porqu%C3%AA-e-quando-%C3%A9-necess%C3%A1rio-normalizar-os-dados-92e5cce445aa,,
,,Data Science,R,https://www.chi2innovations.com/blog/resources/ebooks/free-data-science-ebooks-july-2020/?ck_subscriber_id=723952418,Free book,
,,Kaggle,,https://www.kaggle.com/rubenssjr/brasilian-houses-to-rent?select=houses_to_rent_v2.csv,,
,,Markdown,,https://github.com/ysraell/examples/blob/master/python_tips/Markdown_examples.ipynb,,
,,Data Science,Carreira,https://discuss.analyticsvidhya.com/t/a-comprehensive-learning-path-to-become-a-data-scientist-in-2020/87673,,
,,Data Science,Learning Path,https://medium.com/ml-research-lab/data-scientist-learning-path-2018-a82e67d49d8e,,
,,Data Science,Estatística,https://medium.com/ml-research-lab/how-to-self-learn-statistics-of-data-science-c05db1f7cfc3,,
,,Data Science,Matemática,3 cursos no Coursera da Imperial London College de mat pra Machine Learning,,
,,Data Science,Matemática,https://towardsdatascience.com/mathematics-for-data-science-e53939ee8306,,
,,Data Science,Story Telling,https://www.practicalecommerce.com/7-storytelling-techniques-and-how-to-apply-them,,
,,Data Science,Logistic Regression,https://ryxcommar.com/2020/06/27/why-do-so-many-practicing-data-scientists-not-understand-logistic-regression/,,
,,Data Science,Cursos,https://cio.com.br/os-melhores-cursos-gratuitos-de-ciencia-de-dados-durante-a-quarentena/,,
,,Data Science,Cursos,https://www.datascienceacademy.com.br/,,
,,Visualização,LOL,https://medium.com/data-hackers/mapa-de-kills-no-league-of-legends-com-datashader-8ec53215d432,,
,,Business,Lead,https://www.instagram.com/p/CCHZU2xBsoE/?utm_source=ig_web_copy_link,,
,,Business,Lead,https://rockcontent.com/blog/o-que-e-lead/#oque,,
,,IA,Ética e Leis,https://www.youtube.com/watch?v=NyfoTcAoPIg,,
,,Estatística,Binomial~Normal,https://www.ime.usp.br/~rfaria/cursos/verao-2019/Aulas/Aula%2010/Aproximacao_da_Binomial_pela_Normal.pdf,,
,,Eventos,Hackaton,https://datahack.analyticsvidhya.com/contest/janatahack-recommendation-systems/True/#ProblemStatement,,
,,Estatística,,https://www.youtube.com/playlist?list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr,,
,,Eventos,Women in DS,https://www.youtube.com/watch?v=emVOfDR5UXk,,
,,Artigos,Como ler Artigos by Andrew NG,https://www.youtube.com/watch?v=733m6qBH-jI,,
,,Artigos,,https://paperswithcode.com/methods,,
,,ML,Hermione,https://medium.com/a3data/hermione-para-data-scientists-562f5003dda2,,
,,Python,book,http://automatetheboringstuff.com/,,
,,Estatística,Curso,https://online.stanford.edu/courses/sohs-ystatslearning-statistical-learning,,
,,Github,renderiza sem .js,https://nbviewer.jupyter.org/,,
,,Eventos,Webinar,https://exame.com/academy/exame-oferece-webinar-gratuito-o-mercado-de-trabalho-em-ciencia-de-dados/,,
,,Ciência,Hipótese,https://www.ibm.com/blogs/digital-transformation/br-pt/nao-adianta-termos-bons-dados-se-nao-fizermos-boas-perguntas/,,
,,Estatística,Teste significância,https://pt.khanacademy.org/math/statistics-probability/significance-tests-one-sample,,
,,Estatística,Teste hipótese,https://www.inf.ufsc.br/~andre.zibetti/probabilidade/index.html,,
,,Estatística,Teste hipótese,https://www.youtube.com/watch?v=h4QcWDDlrW0&list=PL7xT0Gz6G0-TfV-S6WiGDvIsZds6Pv_g8,,
,,Estatística,Teste hipótese,https://towardsdatascience.com/is-stockholm-getting-hotter-c7ce8a9008ee,,
,,Estatística,Teste hipótese,https://www.youtube.com/watch?v=S3V5qJ1bxhk&t=644s,,
,,Estatística,Teste hipótese,http://www.portalaction.com.br/,,
,,Estatística,Teste hipótese,https://www.socscistatistics.com/pvalues/tdistribution.aspx,,
,,Estatística,Teste hipótese,https://www.youtube.com/watch?v=z-HSsVARNnk,,
,,Estatística,Teste hipótese,https://www.alura.com.br/conteudo/estatistica-testes-hipotestes,,
,,Estatística,Teste hipótese,https://github.com/ClarisseAlvarenga/data_science_alura_cursos/blob/master/Tabelas_Estat%C3%ADsticas.ipynb,,
,,Estatística,Teste hipótese,https://github.com/ViniViniAntunes/Analise-descritiva-PNAD-2015_Parte-1,,
,,Estatística,Teste hipótese,https://www.youtube.com/watch?v=vemZtEM63GY,,
,,Estatística,Teste hipótese,https://youtu.be/bf3egy7TQ2Q?t=281,,
,,Estatística,Teste hipótese,https://statisticsbyjim.com/hypothesis-testing/hypothesis-tests-significance-levels-alpha-p-values/,,
,,Estatística,Teste hipótese,https://nymarya.github.io/o-absurdo-do-teste-de-hipotese/,,
,,Estatística,Teste hipótese,https://www.youtube.com/watch?v=99ag4jdSeok,,
,,Estatística,Teste hipótese,https://medium.com/swlh/lambdas-in-python-4-practical-examples-25afe0e44f88,,
,,Estatística,Teste hipótese,https://www.youtube.com/watch?v=S3V5qJ1bxhk,,
,,Estatística,Teste hipótese,https://towardsdatascience.com/statistical-significance-hypothesis-testing-the-normal-curve-and-p-values-93274fa32687,,
,,Estatística,Teste hipótese,https://medium.com/data-hackers/o-que-realmente-um-teste-de-hip%C3%B3teses-quer-nos-dizer-b82801b03529,,
,,Estatística,P-value,https://blog.minitab.com/blog/adventures-in-statistics-2/how-to-correctly-interpret-p-values,,
,,Estatística,P-value,https://blog.minitab.com/blog/adventures-in-statistics-2/the-american-statistical-associations-statement-on-the-use-of-p-values,,
,,Estatística,Kolmogorov-Smirnov,http://soniavieira.blogspot.com/2018/12/kolmogorov-smirnov-teste-de-normalidade.html,,
,,Estatística,Shapiro-Wilk,https://youtu.be/c8534_OfQPQ,,
,,Estatística,Comparativo,http://www.biostathandbook.com/testchoice.html,,
,,Aplicações,Brazil Imports and Exports,https://github.com/renatavillar/imports_export,,
,,Artigos e Github,,https://paperswithcode.com/,,
,,Artigos e Github,,https://machinelearning.apple.com/,,
,,Estatística,Bins,https://www.eecis.udel.edu/~portnoi/classroom/prob_estatistica/2006_1/lecture_slides/aula04.pdf,,
,,Estatística,Amostra,https://pt.khanacademy.org/math/statistics-probability/designing-studies/sampling-methods-stats/a/sampling-methods-review,,
,,Estatística,PDF CDF PMF,https://www.youtube.com/watch?v=YXLVjCKVP7U&t=27s,,
,,Estatística,livro,Charles Wheelna,,
,,Estatística,livro,An Introduction to Statistical Learning with R - 2013,,
,,Estatística,livro,All of Statistics - Larry Wasserman 2004,,
,,Estatística,livro,Introductory Statistics with R - Dalgaard 2008,,
,,Estatística,curso,https://ocw.mit.edu/courses/mathematics/18-05-introduction-to-probability-and-statistics-spring-2014/,,
,,Machine Learning,Imagens,https://www.linkedin.com/posts/viniciuscarida_machinelearning-datascience-cnn-activity-6686056835687976960-JaEX,,
,,Estatística,TCL,https://www.youtube.com/watch?v=uTpaICj8bow&list=PLjdDBZW3EmXe6hO2Rt5Q9I5wzRZ7j7K8P,,
,,Machine Learning,Financeiro,https://www.youtube.com/playlist?list=PLQVvvaa0QuDe6ZBtkCNWNUbdaBo2vA4RO,,
,,Machine Learning,Financeiro,https://www.youtube.com/channel/UCkBKRTla-WORg2aKwLo-iZg,,
,,Machine Learning,Financeiro,https://www.youtube.com/watch?v=SEQbb8w7VTw,,
,,Machine Learning,Financeiro,https://www.youtube.com/watch?v=fjQLboLjCRo,,
,,Database,,https://archive.ics.uci.edu/ml/index.php,,
,,Database,,https://towardsdatascience.com/top-10-great-sites-with-free-data-sets-581ac8f6334,,
,,Database,,http://www.dados.gov.br/,,
,,R,Livros,https://www.chi2innovations.com/blog/resources/ebooks/free-data-science-ebooks-july-2020/?ck_subscriber_id=723952418,,
,,Data Science,Portfolio,https://www.youtube.com/watch?v=yGZ6LLEyaV8,,
,,Data Science,Portfolio,https://github.com/sajal2692/data-science-portfolio/blob/master/finding_donors/finding_donors.ipynb,,
,,Data Science,Portfolio,https://sejaumdatascientist.com/os-5-projetos-de-data-science-que-fara-o-recrutador-olhar-para-voce/,,
,,Machine Learning,Feature Selection,https://www.amazon.com/Feature-Selection-Recognition-Computational-Intelligence/dp/3662456192,,
,,Machine Learning,Feature Selection,https://www.igi-global.com/chapter/survey-feature-selection-techniques/11077,,
,,Machine Learning,Feature Selection,https://towardsdatascience.com/feature-selection-techniques-in-machine-learning-with-python-f24e7da3f36e#:~:text=Feature%20Selection%20is%20the%20process,learn%20based%20on%20irrelevant%20features.,
,,Machine Learning,PCA,https://www.youtube.com/watch?v=FgakZw6K1QQ&t=328s,,
,,Machine Learning,PCA,https://www.kaggle.com/nirajvermafcb/principal-component-analysis-explained,,
,,Estatística,Selecao Bayesiana,https://github.com/erickamorim/Selecao-Bayesiana-de-Modelos,,
,,Utils,Cloud Notebook,https://deepnote.com/,,
,,Machine Learning,Canal,https://www.youtube.com/channel/UC5MXrSUoLW0JRd2j7q1ef7Q,,
,,Eventos,Imersão React,https://www.youtube.com/watch?v=XJ3sr259SDI&feature=emb_title,,
,,Machine Learning,Canvas,https://medium.com/louis-dorard/from-data-to-ai-with-the-machine-learning-canvas-part-i-d171b867b047,,
,,Machine Learning,Canvas,http://scyfer.nl/2017/05/15/problem-ai-solution-machine-learning-canvas-2/,,
,,Python,,https://www.youtube.com/playlist?list=PLHz_AreHm4dlKP6QQCekuIPky1CiwmdI6,,
,,Python,,https://www.youtube.com/playlist?list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-,,
,,Ciência,Aprendizagem Significativa,https://pt.wikipedia.org/wiki/Aprendizagem_significativa#:~:text=Aprendizagem%20significativa%20%C3%A9%20o%20conceito,da%20aprendizagem%20de%20David%20Ausubel.&text=As%20id%C3%A9ias%20novas%20s%C3%B3%20podem,que%20proporcionam%20as%20%C3%A2ncoras%20conceituais
,,Ciência,Aprendizagem Significativa,https://pt.wikipedia.org/wiki/David_Ausubel,,
,,Desafios,CodeWars,https://www.codewars.com/,,
,,Machine Learning,Feature Selection,https://www.youtube.com/watch?v=Bcn5e7LYMhg,,
,,Machine Learning,,https://www.linkedin.com/posts/machine-learning-mastery_framework-for-data-preparation-techniques-activity-6688158104410038272-zlEC,,
,,Desafios,HackerRank,https://www.hackerrank.com/,,
,,Data Science,,https://dadosaocubo.com/parceiro-de-publicacao-d3/,,
,,,,,,
,,Data Science,Vagas,https://br.ciandt.com/carreiras/programa-de-estagio-next-gen?utm_source=whatsapp&utm_medium=referral&utm_term=&utm_content=&utm_campaign=nextgen,CI&T,
,,Eventos,Data Science,https://conteudos.napratica.org.br/conexao/?utm_campaign=conexao&utm_medium=email&utm_source=rd_atracao#4-contratacao&utm_content=cta-bt1,,
,,Data Science,Carreira,https://www.youtube.com/watch?v=CHKw-zUeJA8,,
,,Eventos,Hackathon Covid 24-27 july,https://hackmakers.com/,,
,,Eventos,Maratona behind the code IBM,https://ibm.biz/Bdq8aT,,
,,Canais,Professor Guru,,,
,,Canais,Cassie Kozyrkov,https://www.linkedin.com/in/cassie-kozyrkov-9531919/,,
,,Canais,Cassie Kozyrkov,https://towardsdatascience.com/@kozyrkov,,
,,Canais,Cassie Kozyrkov,https://towardsdatascience.com/statistician-proves-that-statistics-are-boring-4fc22c95031b,,
,,Canais,Cassie Kozyrkov,https://hackernoon.com/explaining-p-values-with-puppies-af63d68005d0,,
,,Gravar vídeos,OBS Studio,,,
,,Data Science,xp,https://www.youtube.com/watch?v=yQvUU2YPPy4,,
,,Data Science,certifications 2020,https://towardsdatascience.com/top-9-data-science-certifications-in-2020-40b0192ade43,,
,,Machine Learning,Livro,https://mlbook.explained.ai/,,
,,Machine Learning,Livro,https://www.dropbox.com/s/e38nil1dnl7481q/machine_learning.pdf?dl=0,,
,,Deep learning,livro,https://www.deeplearningbook.org/,,
,,Data Science,Utils,https://www.notion.so/The-Best-Artificial-Intelligence-Machine-Learning-and-Data-Science-Resources-b3b97fa097b747698e87fd3badc657cf,,
,,Data Science,Produção,https://medium.com/analytics-and-data/overview-of-the-different-approaches-to-putting-machinelearning-ml-models-in-production-c699b34abf86,,
,,Data Science,Produção,https://www.youtube.com/watch?v=TZrzYQVxJEg,,
,,Data Science,Produção,https://vicki.substack.com/p/big-recsys-redux-recs-at-netflix,,
,,Data Science,Produção,https://www.youtube.com/channel/UCar5Cr-pVz08GY_6I3RX9bA,,
,,Estatística,Não paramétrica,https://pt.coursera.org/learn/estatistica-nao-parametrica,USP - decisão com pequenas amostras,
,,Machine Learning,Estatística,https://machinelearningmastery.com/statistics-for-machine-learning-mini-course/,,
,,Estatística,Galton Board,https://www.youtube.com/watch?v=UCmPmkHqHXk,,
,,Medium,,https://medium.com/@jangelojr/identification-of-the-ideal-number-of-clusters-5182b832ebcd,,
,,Canal IA,Felipe Deschamps,https://youtu.be/KdgKQoq1jk0,,
,,Python,,https://panda.ime.usp.br/pensepy/static/pensepy/index.html,,
,,Python,Code style,https://towardsdatascience.com/best-python-practices-for-data-scientists-11056edda8c7,,
,,Python,Code style,https://www.python.org/dev/peps/pep-0008/,,
,,Python,Code style,https://jupyter-contrib-nbextensions.readthedocs.io/en/latest/nbextensions/code_prettify/README_autopep8.html,,
,,Estatística,Normal,https://towardsdatascience.com/exploring-normal-distribution-with-jupyter-notebook-3645ec2d83f8,,
,,ML Summer School 2020,,http://mlss.tuebingen.mpg.de/2020/schedule.html,,
,,Visualization,Dark,https://paulozip.github.io/dark_characters_network/,,
,,Python for beginners,,https://www.youtube.com/watch?v=rfscVS0vtbw,,
,,Spark,,https://www.databricks.training/learn-from-home/index.html,,
,,Mapas mentais,,mindmeister.com,,
,,Ciência,Livro,Antônio Carlos Gil. Como elaborar projetos de pesquisa. 4ed 2002.,,
,,Python,List Comprehension,https://codenation.dev/private-journey/ds-online-2/challenge/manipulando-dados-iv,,
,,PowerShell,Python,https://programminghistorian.org/en/lessons/intro-to-powershell#using-command-line-tools-and-running-python-scripts,,